Episode 2, Step 161, Action: 1, Reward: -1.00, Total Reward: -388.50
Episode 2, Step 162, Action: 0, Reward: -1.00, Total Reward: -390.50
Episode 2, Step 163, Action: 1, Reward: -1.00, Total Reward: -392.50
Episode 2, Step 164, Action: 0, Reward: -1.00, Total Reward: -394.50
Episode 2, Step 165, Action: 3, Reward: -1.00, Total Reward: -396.50
Episode 2, Step 166, Action: 0, Reward: -1.00, Total Reward: -398.50
Episode 2, Step 167, Action: 3, Reward: -1.00, Total Reward: -400.50
Episode 2, Step 168, Action: 1, Reward: -1.00, Total Reward: -402.50
Episode 2, Step 169, Action: 0, Reward: -1.00, Total Reward: -404.50
Episode 2, Step 170, Action: 0, Reward: -1.00, Total Reward: -406.50
Episode 2, Step 171, Action: 3, Reward: -1.00, Total Reward: -408.50
Episode 2, Step 172, Action: 1, Reward: -1.00, Total Reward: -410.50
Episode 2, Step 173, Action: 3, Reward: -1.00, Total Reward: -412.50
Episode 2, Step 174, Action: 1, Reward: -1.00, Total Reward: -414.50
Episode 2, Step 175, Action: 0, Reward: -1.00, Total Reward: -416.50
Episode 2, Step 176, Action: 3, Reward: -1.00, Total Reward: -418.50
Episode 2, Step 177, Action: 3, Reward: -1.00, Total Reward: -420.50
